bed,row,col,Unique.ID,Li600,Genotype,Type
D ,39,C ,1862,NA,WL2,Parent
D ,39,D ,1430,NA,(CC x TM2) x (WL2 x TM2),F2
D ,40,C ,2340,NA,(WV x TM2) x (WL2 x TM2),F2
D ,40,D ,1404,NA,WV x WL2,F1
D ,41,C ,1913,NA,WL2,Parent
D ,41,D ,2484,84,TM2 x WL2,F1
D ,42,D ,76,NA,(LV1 x WL2) x (WL2),F2
D ,43,C ,363,NA,(TM2 x WL2) x (WL2),F2
D ,43,D ,2046,NA,WL2 x WV,F1
D ,44,C ,385,NA,(TM2 x WL2) x (YO11 x WL2),F2
D ,44,D ,2531,85,(WL2 x BH) x (WL2 x CC),F2
D ,45,D ,2543,86,(WL2 x CC) x (WL2 x BH),F2
D ,46,C ,2277,87,(WL2 x TM2) x (TM2),F2
D ,46,D ,1972,NA,BH x WL2,F1
D ,47,D ,2065,NA,(CC x WL2) x (WL2),F2
D ,48,C ,1615,NA,BH,Parent
D ,48,D ,2369,88,(WV x WL2) x (WV),F2
D ,49,D ,2387,90,(YO11 x WL2) x (WL2),F2
D ,50,C ,2103,91,(SQ3 x WL2) x (WL2),F2
D ,50,D ,2542,92,(WL2 x BH) x (WL2 x TM2),F2
D ,51,C ,2445,93,(SQ3 x WL2) x (WL2),F2
D ,51,D ,1839,94,WL2,Parent
D ,52,C ,2242,95,(WL2 x TM2) x (TM2),F2
D ,52,D ,1806,96,WL1,Parent
D ,53,C ,2429,NA,WL2 x LV1,F1
D ,53,D ,2346,97,(WV x WL2) x (WL2 x BH),F2
D ,54,C ,2567,98,(WV x WL2) x (WL2 x BH),F2
D ,55,C ,2235,100,(WL2 x TM2) x (CC x TM2),F2
D ,55,D ,1796,NA,TM2,Parent
D ,56,C ,2166,101,(TM2 x WL2) x (WL2 x DPR),F2
D ,56,D ,2485,102,TM2 x WL2,F1
D ,57,C ,1970,103,BH x WL2,F1
E ,4,A ,2225,104,(WL2 x BH) x (WL2 x TM2),F2
E ,4,B ,1998,NA,TM2 x WL2,F1
E ,5,B ,2641,105,TM2,Parent
E ,6,B ,2061,NA,(CC x WL2) x (WL2),F2
E ,7,A ,2266,106,(WL2 x TM2) x (TM2),F2
E ,7,B ,2534,107,(WL2 x BH) x (WL2 x CC),F2
E ,8,A ,2282,NA,(WL2 x TM2) x (TM2),F2
E ,8,B ,2028,108,WL2 x TM2,F1
E ,9,B ,2132,NA,(TM2 x WL2) x (TM2),F2
E ,10,B ,2374,109,(WV x WL2) x (WV),F2
E ,11,A ,2088,110,(LV1 x WL2) x (WL2),F2
E ,14,A ,2211,112,(WL2 x BH) x (WL2 x CC),F2
E ,14,B ,2025,NA,WL2 x LV1,F1
E ,15,B ,1896,NA,WL2,Parent
E ,16,A ,1857,NA,WL2,Parent
E ,18,A ,2000,113,TM2 x WL2,F1
E ,18,B ,372,NA,(TM2 x WL2) x (WL2),F2
E ,19,B ,1975,114,DPR x WL2,F1
E ,20,B ,2367,115,(WV x WL2) x (WL2 x CC),F2
E ,21,A ,2104,NA,(SQ3 x WL2) x (WL2),F2
E ,21,B ,2437,NA,(CC x WL2) x (WL2),F2
E ,22,A ,2014,NA,WL2 x DPR,F1
E ,25,A ,2332,116,(WV x TM2) x (TM2 x WL2),F2
E ,25,B ,1808,NA,WL1,Parent
E ,26,A ,1713,NA,TM2,Parent
E ,27,B ,1841,117,WL2,Parent
E ,28,B ,2453,118,(WL2 x TM2) x (CC x TM2),F2
E ,29,A ,2106,119,(SQ3 x WL2) x (WL2),F2
E ,29,B ,2375,120,(WV) x (WV x WL2),F2
E ,41,A ,1601,121,BH,Parent
E ,42,B ,2434,122,WL2 x YO11,F1
E ,43,B ,1686,NA,SQ3,Parent
E ,44,B ,2273,NA,(WL2 x TM2) x (TM2),F2
E ,45,A ,2208,123,(WL2 x BH) x (WL2 x CC),F2
E ,46,B ,2613,124,TM2 x WL2,F1
E ,47,B ,2586,125,(DPR x TM2) x (TM2 x WL2),F2
E ,48,A ,2164,NA,(TM2 x WL2) x (WL1 x TM2),F2
E ,48,B ,1974,126,DPR x WL2,F1
E ,49,B ,2503,127,(TM2) x (TM2 x WL2),F2
E ,51,A ,334,NA,(WL1 x WL2) x (BH x WL2),F2
E ,51,B ,1800,128,TM2,Parent
